Time,,,,Number of Pareto points,,,,Number of Nodes,,,
Average,Std Dev,Max,Min,Average,Std Dev,Max,Min,Average,Std Dev,Max,Min
343.2,271.58,970,74,3.8,1.55,6,2,7.6,3.1,12,4
226.3,120.28,439,60,3.8,1.55,7,2,7.6,3.1,14,4
171.3,89.79,344,47,3.2,1.32,5,2,6.4,2.63,10,4
486.8,207.89,985,226,5.9,1.6,9,3,11.8,3.19,18,6
355.2,260.12,971,83,5.3,2.06,9,3,10.6,4.12,18,6
327.9,266.41,845,48,4.5,2.07,8,2,9,4.14,16,4
529,283.26,1209,292,6,2.31,12,4,12,4.62,24,8
144,98.9,376,51,3.4,1.17,5,2,6.8,2.35,10,4
464.2,259.54,875,170,4.6,1.9,7,2,9.2,3.79,14,4
272.1,233.35,723,24,4.3,1.89,8,1,8.6,3.78,16,2
1373.7,1013.7,3419,287,6.4,3.17,13,3,12.8,6.34,26,6
1391.7,616,2892,774,6.4,1.84,11,4,12.8,3.68,22,8
1564.9,1137.5,4212,329,6.6,3.1,12,3,13.2,6.2,24,6
1467.5,806.11,2632,313,6.5,2.64,10,3,13,5.27,20,6
1452,791.69,2827,385,6.1,2.13,10,4,12.2,4.26,20,8
1800.3,963.91,4084,666,7.7,2.71,13,4,15.4,5.42,26,8
1225.9,472.69,2192,552,5.9,1.73,10,4,11.8,3.46,20,8
1316,621.03,2294,333,6.2,1.81,9,4,12.4,3.63,18,8
1225.3,513.82,2349,334,5.6,1.35,8,3,11.2,2.7,16,6
1532.8,929.24,3406,222,6.6,2.67,10,2,13.2,5.35,20,4
3116.6,1414.71,6579,1590,8.8,3.71,18,5,17.6,7.41,36,10
3334.3,1713.68,6754,842,9.2,2.82,13,3,18.4,5.64,26,6
2753.5,1421.49,6029,1136,7.7,3.23,12,3,15.4,6.47,24,6
2572.7,1663.46,6294,557,7.2,3.36,14,2,14.4,6.72,28,4
2903.7,2422.01,7911,193,8.4,6.67,22,1,16.8,13.34,44,2
3385.4,1734.99,5930,475,8.4,3.92,15,2,16.8,7.84,30,4
3248.3,1725.48,6799,458,8.1,3.73,15,1,16.2,7.45,30,2
3655.4,3525.51,13027,816,9,5.58,22,3,18,11.16,44,6
3058.1,881.01,4648,1929,8,1.89,11,5,16,3.77,22,10
2297.5,966.16,4020,832,6,2.11,10,2,12,4.22,20,4
